iter	Passed	Remaining
0	1	140
1	2	134
2	4	129
3	5	125
4	6	122
5	7	120
6	8	118
7	10	117
8	11	116
9	12	114
10	13	112
11	15	111
12	16	109
13	17	108
14	19	107
15	20	106
16	21	104
17	22	103
18	23	101
19	25	100
20	26	99
21	27	97
22	28	96
23	30	95
24	31	93
25	32	92
26	33	91
27	34	89
28	36	88
29	37	87
30	38	85
31	39	84
32	41	83
33	42	81
34	43	80
35	44	79
36	45	78
37	47	77
38	48	75
39	49	74
40	50	73
41	52	71
42	53	70
43	54	68
44	55	67
45	56	66
46	57	65
47	58	63
48	60	62
49	61	61
50	62	60
51	64	59
52	65	57
53	66	56
54	67	55
55	69	54
56	70	52
57	71	51
58	72	50
59	73	49
60	75	48
61	76	46
62	77	45
63	78	44
64	80	43
65	81	41
66	82	40
67	83	39
68	85	38
69	86	36
70	87	35
71	88	34
72	89	33
73	91	32
74	92	30
75	93	29
76	94	28
77	96	27
78	96	25
79	98	24
80	99	23
81	100	22
82	101	20
83	103	19
84	104	18
85	105	17
86	106	15
87	107	14
88	109	13
89	110	12
90	111	11
91	112	9
92	113	8
93	115	7
94	117	6
95	118	4
96	119	3
97	121	2
98	122	1
99	123	0
