iter	Passed	Remaining
0	193	193114
1	196	98149
2	202	67420
3	207	51634
4	210	41918
5	213	35428
6	217	30886
7	219	27255
8	221	24421
9	223	22161
10	225	20302
11	228	18782
12	231	17557
13	233	16425
14	235	15441
15	236	14568
16	238	13769
17	239	13060
18	240	12424
19	242	11877
20	244	11401
21	245	10931
22	247	10499
23	248	10102
24	249	9739
25	250	9402
26	252	9088
27	253	8797
28	254	8526
29	256	8286
30	258	8086
31	260	7865
32	261	7655
33	262	7458
34	263	7272
35	265	7097
36	266	6930
37	267	6773
38	268	6623
39	270	6481
40	272	6384
41	274	6257
42	275	6133
43	276	6015
44	278	5901
45	279	5793
46	280	5690
47	281	5591
48	283	5496
49	284	5412
50	287	5346
51	288	5261
52	289	5181
53	291	5103
54	292	5026
55	293	4952
56	295	4881
57	296	4812
58	297	4745
59	298	4680
60	301	4640
61	303	4589
62	304	4532
63	306	4476
64	307	4424
65	308	4371
66	310	4318
67	311	4267
68	312	4217
69	313	4169
70	316	4144
71	318	4099
72	319	4054
73	320	4012
74	321	3970
75	323	3928
76	324	3888
77	325	3848
78	326	3809
79	328	3772
80	330	3753
81	332	3724
82	333	3683
83	334	3650
84	336	3617
85	337	3584
86	338	3552
87	339	3521
88	341	3491
89	342	3461
90	343	3431
91	346	3416
92	347	3389
93	348	3362
94	350	3334
95	351	3308
96	352	3281
97	353	3255
98	354	3230
99	356	3205
100	357	3180
101	360	3171
102	362	3152
103	363	3130
104	364	3107
105	365	3084
106	366	3062
107	368	3040
108	369	3019
109	370	2998
110	371	2978
111	373	2957
112	377	2963
113	379	2951
114	381	2937
115	383	2920
116	384	2901
117	385	2884
118	387	2867
119	392	2881
120	394	2868
121	397	2862
122	399	2851
123	402	2845
124	406	2845
125	408	2834
126	409	2816
127	411	2801
128	412	2786
129	414	2772
130	415	2756
131	417	2742
132	418	2727
133	422	2729
134	423	2715
135	425	2700
136	426	2685
137	427	2672
138	429	2659
139	430	2645
140	432	2633
141	433	2616
142	436	2614
143	438	2604
144	439	2593
145	441	2580
146	442	2568
147	443	2555
148	445	2542
149	446	2530
150	447	2517
151	448	2504
152	451	2499
153	452	2488
154	454	2475
155	455	2464
156	456	2452
157	457	2440
158	459	2428
159	460	2416
160	461	2403
161	462	2392
162	464	2382
163	466	2377
164	467	2367
165	469	2357
166	470	2346
167	471	2335
168	472	2324
169	474	2314
170	475	2304
171	476	2294
172	477	2284
173	480	2282
174	482	2273
175	483	2263
176	484	2254
177	486	2244
178	487	2234
179	488	2225
180	489	2216
181	490	2206
182	492	2197
183	494	2194
184	496	2188
185	498	2179
186	499	2171
187	500	2163
188	502	2154
189	503	2146
190	504	2137
191	505	2128
192	507	2120
193	509	2118
194	511	2111
195	512	2103
196	513	2094
197	515	2086
198	516	2079
199	517	2071
200	519	2064
201	520	2057
202	522	2049
203	527	2057
204	528	2051
205	530	2044
206	533	2043
207	535	2037
208	536	2030
209	540	2034
210	542	2027
211	543	2020
212	545	2014
213	546	2008
214	548	2002
215	549	1995
216	551	1988
217	552	1981
218	557	1986
219	558	1979
220	559	1973
221	561	1966
222	562	1960
223	563	1953
224	565	1946
225	566	1940
226	567	1933
227	570	1930
228	572	1926
229	573	1920
230	574	1913
231	576	1907
232	578	1902
233	580	1899
234	581	1893
235	584	1891
236	585	1886
237	587	1881
238	589	1876
239	591	1873
240	593	1867
241	595	1863
242	596	1858
243	600	1859
244	602	1855
245	604	1852
246	605	1846
247	606	1839
248	608	1833
249	609	1827
250	610	1821
251	611	1815
252	614	1814
253	616	1810
254	617	1804
255	619	1799
256	620	1793
257	621	1788
258	623	1782
259	624	1777
260	625	1771
261	626	1765
262	629	1764
263	631	1760
264	632	1754
265	633	1749
266	635	1743
267	636	1738
268	637	1733
269	639	1727
270	640	1722
271	641	1716
272	644	1716
273	646	1712
274	647	1706
275	648	1701
276	649	1696
277	651	1691
278	652	1685
279	653	1680
280	654	1675
281	656	1670
282	657	1666
283	660	1665
284	662	1661
285	663	1657
286	665	1652
287	666	1648
288	668	1643
289	669	1638
290	670	1634
291	672	1629
292	676	1631
293	677	1627
294	679	1623
295	680	1618
296	682	1615
297	684	1612
298	685	1607
299	688	1607
300	691	1606
301	693	1602
302	694	1598
303	696	1594
304	697	1589
305	699	1585
306	700	1581
307	701	1576
308	704	1575
309	705	1571
310	707	1566
311	708	1562
312	709	1557
313	710	1553
314	712	1549
315	713	1544
316	714	1540
317	717	1539
